 background facade window cornice deco balcony sill door shop pillar molding blind
135.jpg 1 1 1 1 1 1 1 1 1 1 1 1
136.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
137.jpg 1 1 1 -1 1 1 1 -1 -1 1 -1 1
138.jpg -1 1 1 1 1 1 1 1 1 -1 1 -1
139.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
14.jpg 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1
140.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
141.jpg 1 1 1 1 1 1 1 1 1 1 1 1
142.jpg 1 1 1 1 1 1 1 1 1 1 1 1
143.jpg 1 1 1 1 1 -1 1 -1 -1 1 1 -1
144.jpg 1 1 1 1 1 1 1 1 -1 1 1 -1
145.jpg 1 1 1 -1 1 1 1 1 1 1 1 1
146.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
147.jpg 1 1 1 1 1 -1 -1 -1 1 1 1 -1
148.jpg 1 1 1 1 1 1 1 1 1 1 1 1
149.jpg 1 1 1 1 1 -1 1 -1 -1 1 -1 1
15.jpg 1 1 1 1 1 1 -1 1 -1 -1 1 1
150.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
151.jpg -1 1 1 1 1 1 1 1 1 1 1 1
152.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
153.jpg 1 1 1 -1 1 1 1 1 1 1 1 1
154.jpg 1 1 1 1 1 -1 1 1 -1 -1 1 1
155.jpg 1 1 1 1 1 -1 1 -1 1 1 1 1
156.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
157.jpg 1 1 1 1 1 1 1 1 1 1 1 1
158.jpg 1 1 1 -1 1 1 -1 -1 1 -1 1 -1
159.jpg 1 1 1 1 1 -1 1 1 1 -1 1 -1
16.jpg 1 1 1 -1 1 -1 1 -1 -1 -1 1 1
160.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
161.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
162.jpg 1 1 1 1 1 1 1 1 1 1 1 1
163.jpg 1 1 1 1 1 -1 1 -1 -1 1 1 1
164.jpg 1 1 1 1 1 1 1 1 1 1 1 1
165.jpg 1 1 1 1 1 -1 1 -1 -1 1 -1 -1
166.jpg 1 1 1 1 1 -1 1 1 1 -1 1 1
167.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
168.jpg 1 1 1 -1 1 1 1 -1 -1 -1 1 1
169.jpg 1 1 1 -1 1 1 1 -1 1 1 1 -1
17.jpg 1 1 1 1 1 1 1 1 1 1 1 1
170.jpg 1 1 1 1 1 1 -1 -1 1 -1 1 -1
171.jpg 1 1 1 -1 1 -1 1 -1 -1 1 -1 1
172.jpg 1 1 1 1 1 1 1 -1 1 -1 1 -1
173.jpg 1 1 1 -1 1 -1 1 1 1 1 1 1
174.jpg 1 1 1 1 1 1 1 1 -1 -1 1 1
175.jpg 1 1 1 1 1 1 1 1 1 1 1 1
176.jpg -1 1 1 1 1 1 1 1 -1 1 -1 1
177.jpg -1 1 1 -1 1 1 -1 -1 1 1 1 1
178.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
179.jpg 1 1 1 -1 1 1 1 1 1 -1 1 1
18.jpg 1 1 1 1 1 1 1 1 1 1 1 1
180.jpg 1 1 1 1 1 1 -1 1 1 -1 1 1
181.jpg 1 1 1 1 1 -1 -1 1 -1 -1 -1 -1
182.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
183.jpg 1 1 1 1 1 1 1 1 1 1 1 1
184.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
185.jpg 1 1 1 1 1 1 1 1 1 -1 -1 1
186.jpg -1 1 1 1 1 1 1 1 1 1 1 1
187.jpg 1 1 1 -1 1 1 1 1 1 -1 1 -1
188.jpg 1 1 1 1 1 1 1 1 1 1 1 1
189.jpg 1 1 1 1 1 1 1 1 -1 -1 1 1
19.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
190.jpg -1 1 1 1 1 1 1 1 1 -1 1 1
191.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
192.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
193.jpg 1 1 1 1 1 1 1 1 -1 -1 1 -1
194.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
195.jpg 1 1 1 -1 1 -1 1 -1 -1 1 1 -1
196.jpg 1 1 1 1 1 1 1 1 1 1 1 1
197.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
198.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
199.jpg 1 1 1 -1 1 1 -1 1 1 -1 1 -1
2.jpg 1 1 1 1 1 1 1 1 1 1 1 1
20.jpg 1 1 1 1 1 1 1 1 1 1 1 1
200.jpg 1 1 1 1 1 -1 1 -1 1 1 1 -1
201.jpg 1 1 1 1 1 1 1 1 1 1 1 1
202.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
203.jpg 1 1 1 1 1 1 1 1 1 1 1 1
204.jpg 1 1 1 -1 1 1 -1 1 1 1 1 1
205.jpg -1 1 1 1 1 1 1 1 1 1 1 -1
206.jpg -1 1 1 1 1 1 1 1 1 -1 1 -1
207.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
208.jpg 1 1 1 1 1 -1 1 1 1 1 1 1
209.jpg 1 1 1 1 1 1 1 1 1 1 1 1
21.jpg 1 1 1 -1 1 1 1 1 1 -1 1 1
210.jpg 1 1 1 1 1 1 1 1 1 1 1 1
211.jpg 1 1 1 1 1 1 1 1 1 1 1 1
212.jpg 1 1 1 1 1 -1 1 -1 1 1 1 1
213.jpg 1 1 1 1 1 -1 1 -1 -1 1 1 -1
214.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
215.jpg 1 1 1 1 1 -1 1 -1 -1 1 -1 1
216.jpg 1 1 1 1 1 1 1 1 -1 1 1 -1
217.jpg 1 1 1 1 1 -1 1 1 1 1 1 1
218.jpg 1 1 1 1 1 -1 1 -1 1 -1 1 -1
219.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
22.jpg 1 1 1 -1 1 1 1 1 1 1 1 1
220.jpg 1 1 1 1 1 1 1 -1 1 1 1 -1
221.jpg 1 1 1 1 1 -1 1 -1 1 1 1 1
222.jpg 1 1 1 1 1 1 1 1 1 1 1 1
223.jpg 1 1 1 1 1 1 1 -1 1 1 -1 1
224.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
225.jpg 1 1 1 -1 1 1 1 1 -1 1 -1 1
226.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
227.jpg 1 1 1 1 1 -1 1 -1 1 1 1 1
228.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
229.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
23.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
230.jpg 1 1 1 1 1 1 1 1 1 1 1 1
231.jpg 1 1 1 1 1 1 1 -1 1 1 1 -1
232.jpg 1 1 1 1 1 1 1 1 1 1 1 1
233.jpg -1 1 1 1 1 1 -1 1 -1 -1 1 -1
234.jpg 1 1 1 1 1 1 1 1 -1 -1 1 -1
235.jpg 1 1 1 1 1 -1 1 -1 -1 1 1 1
236.jpg 1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1
237.jpg -1 1 1 -1 1 1 -1 1 1 1 1 1
238.jpg 1 1 1 -1 1 -1 -1 -1 1 -1 1 -1
239.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
24.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
240.jpg 1 1 1 1 1 1 1 1 1 1 1 1
241.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
242.jpg 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 -1
243.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
244.jpg 1 1 1 -1 1 1 1 1 1 1 1 1
245.jpg 1 1 1 1 1 -1 1 -1 1 1 1 1
246.jpg 1 1 1 -1 1 -1 1 -1 -1 1 -1 1
247.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
248.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
249.jpg 1 1 1 -1 1 -1 -1 -1 1 1 1 1
25.jpg 1 1 1 1 1 1 1 1 1 1 -1 1
250.jpg 1 1 1 -1 1 1 1 -1 1 -1 1 -1
251.jpg 1 1 1 1 1 1 1 1 1 1 1 1
252.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
253.jpg 1 1 1 1 1 -1 1 -1 -1 -1 -1 1
254.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
255.jpg 1 1 1 1 1 1 1 1 1 1 1 1
256.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
257.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
258.jpg 1 1 1 1 1 1 1 1 1 1 1 1
259.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
26.jpg -1 1 1 1 1 1 1 1 1 1 1 1
260.jpg 1 1 1 1 1 1 1 1 1 1 1 1
261.jpg 1 1 1 1 1 1 1 1 1 1 1 1
262.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
263.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
264.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
265.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
266.jpg 1 1 1 -1 1 1 1 1 1 1 1 1
267.jpg 1 1 1 1 1 1 1 1 1 1 1 1
268.jpg 1 1 1 -1 1 1 1 -1 -1 1 1 1
269.jpg 1 1 1 1 1 1 1 1 1 1 1 1
27.jpg 1 1 1 1 1 1 -1 1 1 -1 1 1
270.jpg 1 1 1 1 1 -1 1 -1 1 -1 1 1
271.jpg 1 1 1 -1 1 1 1 -1 -1 1 1 1
272.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
273.jpg 1 1 1 -1 1 1 1 -1 1 1 1 1
274.jpg 1 1 1 -1 -1 -1 -1 -1 -1 1 -1 1
275.jpg 1 1 1 1 1 1 1 1 -1 1 -1 1
276.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
277.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
278.jpg 1 1 1 1 1 1 -1 1 1 -1 1 1
279.jpg 1 1 1 1 1 -1 1 -1 1 -1 1 1
28.jpg -1 1 1 1 1 1 1 1 1 1 1 -1
280.jpg 1 1 1 1 1 1 1 1 1 1 1 1
281.jpg 1 1 1 1 1 -1 1 1 -1 1 1 -1
282.jpg 1 1 1 1 1 1 1 -1 -1 -1 1 1
283.jpg 1 1 1 -1 1 1 1 -1 1 -1 1 1
284.jpg 1 1 1 1 1 1 -1 1 1 -1 1 -1
285.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
286.jpg 1 1 1 1 1 1 1 -1 -1 -1 1 1
287.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
288.jpg 1 1 1 -1 1 1 -1 1 1 -1 1 1
289.jpg 1 1 1 1 1 1 1 1 1 1 1 1
29.jpg 1 1 1 1 1 1 1 1 1 1 1 1
290.jpg 1 1 1 -1 1 -1 1 -1 -1 1 -1 1
291.jpg 1 1 -1 1 1 1 1 -1 1 1 1 1
292.jpg 1 1 1 -1 1 1 1 1 1 -1 1 1
293.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
294.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
295.jpg 1 1 1 -1 1 1 -1 1 -1 -1 1 1
296.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
297.jpg 1 1 1 1 1 1 1 1 1 1 1 1
298.jpg 1 1 1 1 1 1 1 -1 -1 1 1 1
299.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
3.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
30.jpg 1 1 1 1 1 1 1 1 1 1 1 1
300.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
301.jpg 1 1 1 1 1 1 1 1 1 1 1 1
302.jpg 1 1 1 1 1 1 1 1 1 1 -1 1
303.jpg 1 1 1 1 1 1 1 1 1 1 1 1
304.jpg 1 1 1 1 1 1 -1 1 1 -1 1 -1
305.jpg 1 1 1 1 1 1 1 1 1 1 1 1
306.jpg 1 1 1 1 1 1 1 1 1 1 1 1
307.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
308.jpg 1 1 1 -1 1 1 1 1 1 1 1 1
309.jpg 1 1 1 1 1 1 1 1 1 1 1 1
31.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
310.jpg 1 1 1 1 1 -1 1 -1 1 1 1 1
311.jpg 1 1 1 1 1 1 1 1 1 1 1 1
312.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
313.jpg 1 1 1 1 1 -1 -1 -1 1 -1 1 1
314.jpg 1 1 1 1 1 1 1 1 1 1 1 1
315.jpg 1 1 1 1 1 1 -1 1 1 -1 1 1
316.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
317.jpg 1 1 1 -1 1 -1 1 -1 -1 1 -1 1
318.jpg 1 1 1 -1 1 -1 -1 -1 1 1 1 1
319.jpg 1 1 1 1 1 1 1 1 1 1 1 1
32.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
320.jpg 1 1 1 1 1 1 1 1 1 1 1 1
321.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
322.jpg 1 1 1 -1 1 1 1 1 1 1 1 1
323.jpg 1 1 1 1 1 1 1 -1 1 1 1 -1
324.jpg 1 1 1 1 1 1 -1 -1 1 -1 1 1
325.jpg 1 1 1 1 1 1 -1 1 1 1 1 1
326.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
327.jpg 1 1 1 -1 1 1 -1 1 1 -1 1 1
328.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
329.jpg 1 1 1 1 1 1 -1 1 -1 1 -1 1
33.jpg 1 1 1 1 1 1 1 1 1 1 1 1
330.jpg 1 1 1 1 1 1 1 1 1 1 1 1
331.jpg 1 1 1 1 1 1 1 1 1 1 1 1
332.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
333.jpg 1 1 1 -1 1 1 -1 1 1 -1 1 1
334.jpg 1 1 1 -1 1 1 1 1 1 -1 1 -1
335.jpg -1 1 1 -1 1 1 -1 1 1 -1 1 1
336.jpg 1 1 1 1 1 1 1 1 1 1 1 1
337.jpg 1 1 1 1 1 1 1 1 1 1 1 1
338.jpg 1 1 1 1 1 -1 1 -1 1 1 1 1
339.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
34.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
340.jpg 1 1 1 -1 1 1 1 1 -1 1 -1 1
341.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
342.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
343.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
344.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
345.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
346.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
347.jpg 1 1 1 1 1 1 -1 1 1 1 1 -1
348.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
349.jpg 1 1 1 -1 1 1 -1 1 1 -1 1 1
35.jpg 1 1 1 1 1 -1 1 -1 1 -1 1 -1
350.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
351.jpg 1 1 1 1 1 1 1 1 1 1 1 1
352.jpg 1 1 1 -1 1 1 1 -1 1 1 1 1
353.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
354.jpg -1 1 1 1 1 1 1 1 1 1 1 1
355.jpg 1 1 1 1 1 1 1 -1 -1 1 1 1
356.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
357.jpg 1 1 1 1 1 1 1 1 1 1 1 1
358.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
359.jpg -1 1 1 1 1 -1 1 1 1 1 1 -1
36.jpg 1 1 1 1 1 1 1 1 1 1 1 1
360.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
361.jpg 1 1 1 -1 1 1 1 1 1 1 1 1
362.jpg 1 1 1 1 1 1 1 -1 -1 1 -1 1
363.jpg 1 1 1 1 1 1 1 1 1 1 1 1
364.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
365.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
366.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
367.jpg 1 1 1 1 1 -1 1 1 1 -1 1 1
368.jpg 1 1 1 -1 1 1 -1 1 -1 1 -1 1
369.jpg 1 1 1 1 1 1 1 1 1 1 1 1
37.jpg 1 1 1 1 1 1 1 1 1 1 1 1
370.jpg 1 1 1 1 1 1 1 1 1 1 1 1
371.jpg 1 1 1 1 1 1 1 1 -1 -1 1 1
372.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
373.jpg 1 1 1 1 1 -1 1 -1 1 -1 1 -1
374.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
375.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
376.jpg 1 1 1 1 1 -1 1 -1 1 1 1 1
377.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
378.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
379.jpg 1 1 1 1 1 1 1 1 1 1 1 1
38.jpg 1 1 1 1 1 1 1 1 1 1 1 1
380.jpg 1 1 1 1 1 1 1 1 -1 1 1 -1
381.jpg 1 1 1 1 1 1 1 1 1 1 1 1
382.jpg 1 1 1 1 1 -1 1 -1 -1 1 1 1
383.jpg 1 1 1 1 1 1 1 1 1 1 1 1
384.jpg 1 1 1 1 1 1 1 1 1 1 1 1
385.jpg -1 1 1 -1 1 1 1 1 -1 -1 1 1
386.jpg 1 1 1 -1 -1 1 -1 1 -1 -1 1 1
387.jpg 1 1 1 1 1 -1 1 1 1 1 1 -1
388.jpg 1 1 1 1 1 1 1 -1 -1 1 1 1
389.jpg 1 1 1 -1 1 1 1 -1 -1 1 -1 1
39.jpg 1 1 1 1 1 1 1 1 1 1 1 1
390.jpg 1 1 1 1 1 1 1 1 1 1 1 1
391.jpg 1 1 1 1 1 1 1 1 1 1 1 1
392.jpg 1 1 1 1 1 1 1 1 1 1 1 1
393.jpg 1 1 1 1 1 1 -1 -1 1 1 1 1
394.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
395.jpg 1 1 1 -1 1 1 1 -1 1 1 1 1
396.jpg 1 1 1 1 -1 1 1 -1 1 1 1 -1
397.jpg 1 1 1 1 1 -1 1 -1 1 1 1 -1
398.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
399.jpg 1 1 1 -1 1 1 1 1 1 1 1 1
4.jpg 1 1 1 1 -1 1 -1 1 -1 -1 1 1
40.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
400.jpg 1 1 1 -1 1 1 1 1 1 1 1 1
41.jpg 1 1 1 -1 1 -1 1 -1 1 1 1 1
42.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
43.jpg 1 1 1 1 1 1 -1 1 -1 1 1 1
44.jpg -1 1 1 1 1 -1 1 1 -1 1 1 1
45.jpg 1 1 1 1 1 1 1 1 1 1 1 1
46.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
47.jpg 1 1 1 -1 1 1 -1 1 1 1 1 1
48.jpg 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1
49.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
5.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
50.jpg -1 1 1 -1 1 1 1 1 1 1 1 -1
51.jpg 1 1 1 1 1 1 1 -1 1 1 -1 1
52.jpg 1 1 1 -1 1 1 1 1 -1 1 1 1
53.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
54.jpg 1 1 1 1 1 1 1 1 1 1 1 1
55.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
56.jpg 1 1 1 1 1 1 1 1 1 1 1 1
57.jpg 1 1 1 1 1 1 -1 1 1 1 1 -1
58.jpg 1 1 1 1 1 1 1 1 1 1 1 1
59.jpg 1 1 1 -1 1 1 1 -1 1 1 1 -1
6.jpg 1 1 1 -1 1 1 1 1 1 1 1 1
60.jpg 1 1 1 1 1 1 1 1 1 1 1 1
61.jpg 1 1 1 1 1 1 -1 1 1 1 1 1
62.jpg 1 1 1 1 1 1 1 1 1 1 1 1
63.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
64.jpg -1 1 1 1 1 1 1 1 1 1 1 1
65.jpg -1 1 1 1 1 1 1 1 1 -1 1 -1
66.jpg 1 1 1 1 1 1 1 1 1 1 1 1
67.jpg 1 1 1 -1 1 1 -1 1 1 -1 1 1
68.jpg 1 1 1 1 1 1 1 1 1 1 1 1
69.jpg 1 1 1 1 1 -1 1 1 1 1 1 -1
7.jpg 1 1 1 1 1 -1 -1 -1 1 -1 1 1
70.jpg 1 1 1 1 1 1 1 1 1 1 1 1
71.jpg 1 1 1 -1 1 -1 -1 -1 1 -1 1 1
72.jpg 1 1 1 1 1 1 1 1 1 1 1 1
73.jpg -1 1 1 1 1 1 1 1 1 1 1 -1
74.jpg 1 1 1 1 1 1 1 -1 -1 1 1 1
75.jpg 1 1 1 1 1 1 1 1 1 1 1 1
76.jpg 1 1 1 1 1 -1 1 1 -1 1 -1 1
77.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
78.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
79.jpg 1 1 1 1 1 1 1 1 1 1 1 1
8.jpg 1 1 1 1 1 1 1 1 1 1 1 1
80.jpg 1 1 1 1 1 1 1 1 1 1 1 1
81.jpg 1 1 1 1 1 1 1 1 1 1 1 1
82.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
83.jpg 1 1 1 1 1 1 1 1 1 1 1 1
84.jpg 1 1 1 1 1 1 1 1 1 1 1 1
85.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
86.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
87.jpg 1 1 1 1 1 1 1 1 1 1 1 1
88.jpg 1 1 1 1 1 1 1 1 1 1 1 1
89.jpg 1 1 1 -1 1 1 -1 1 1 -1 1 1
9.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
90.jpg 1 1 1 1 1 1 1 1 1 1 1 1
91.jpg 1 1 1 1 1 1 1 1 1 -1 1 1
92.jpg -1 1 1 1 1 1 -1 1 1 1 1 1
93.jpg 1 1 1 1 1 1 1 1 1 1 1 -1
94.jpg 1 1 1 1 1 1 1 1 1 1 1 1
95.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
96.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
97.jpg 1 1 1 1 1 -1 1 -1 -1 -1 1 -1
98.jpg 1 1 1 1 1 -1 1 -1 1 -1 1 1
99.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
